idcode,age,race,married,never_married,grade,collgrad,south,smsa,c_city,industry,occupation,union,wage,hours,ttl_exp,tenure
172,44,white,married,0,15,college grad,0,SMSA,1,Professional Services,Professional/technical,nonunion,10.869566,30,17.833334,3.4166667
173,43,not white,single,0,12,not college grad,0,SMSA,1,Personal Services,Transport,,3.220612,35,11.506411,2.9166667
176,38,not white,single,1,12,not college grad,0,SMSA,1,Public Administration,Professional/technical,union,8.1642513,40,12.846153,3.5
183,43,white,single,0,12,not college grad,0,SMSA,0,Manufacturing,Managers/admin,union,8.4541073,40,17.121796,13.25
184,41,white,married,0,12,not college grad,0,SMSA,0,Professional Services,Sales,nonunion,8.2930727,40,13.788462,12.083333
188,41,white,married,0,12,not college grad,0,SMSA,0,Manufacturing,Sales,union,9.6779356,40,13.26923,8.416667
195,36,white,married,0,12,not college grad,0,SMSA,0,Ag/Forestry/Fisheries,Sales,nonunion,4.5330095,40,12.801282,2.1666667
202,36,white,single,0,14,not college grad,1,nonSMSA,0,Wholesale/Retail Trade,Laborers,,3.3444817,30,11.551282,.25
203,41,white,married,0,11,not college grad,1,SMSA,1,Finance/Ins/Real Estate,Clerical/unskilled,nonunion,8.4541073,24,19.006411,3.1666667
204,38,not white,married,0,10,not college grad,0,SMSA,1,Wholesale/Retail Trade,Managers/admin,nonunion,6.0386477,40,5.5961537,4
206,37,white,married,0,14,not college grad,0,SMSA,1,Professional Services,Professional/technical,nonunion,10.32206,18,10.333333,1.3333334
207,38,not white,single,1,18,college grad,0,SMSA,1,Professional Services,Professional/technical,union,11.610305,50,13.269231,2.0833333
210,37,not white,single,0,11,not college grad,0,SMSA,0,Manufacturing,Operatives,,5.0167227,40,15.641026,10.916667
213,43,white,single,0,10,not college grad,0,SMSA,1,Manufacturing,Operatives,nonunion,6.4412241,40,16.903847,14.416667
215,36,white,single,1,16,college grad,0,SMSA,0,Wholesale/Retail Trade,Sales,nonunion,5.0322061,40,15.852564,3.75
218,35,white,married,0,12,not college grad,0,nonSMSA,0,Professional Services,Managers/admin,nonunion,4.8309178,38,10.115384,2.0833333
219,35,white,single,1,13,not college grad,0,SMSA,1,Professional Services,Laborers,nonunion,11.070854,40,16.858974,8.916667
221,40,white,married,0,16,college grad,0,SMSA,0,Manufacturing,Professional/technical,nonunion,8.3172264,35,9.2564106,1.8333334
223,37,white,single,0,16,college grad,0,SMSA,0,Entertainment/Rec Svc,Professional/technical,nonunion,13.083735,40,15.916667,8.75
224,38,white,married,0,13,not college grad,0,SMSA,0,Professional Services,Sales,union,5.6280179,40,10.788462,4.6666665
225,35,white,single,0,16,college grad,0,SMSA,0,Manufacturing,Managers/admin,nonunion,12.560386,45,16.692308,15.75
226,34,white,married,0,16,college grad,1,SMSA,0,Public Administration,Professional/technical,nonunion,6.682766,40,7.6923075,6.6666665
227,42,white,single,0,15,not college grad,1,SMSA,1,Manufacturing,Sales,nonunion,5.6360707,40,18.788462,1.3333334
228,42,white,married,0,16,college grad,1,SMSA,0,Finance/Ins/Real Estate,Sales,nonunion,4.0257649,15,4.9807692,.33333334
231,42,white,married,0,16,college grad,0,SMSA,0,Business/Repair Svc,Sales,nonunion,18.067625,30,10.589743,9.833333
233,36,white,married,0,16,college grad,0,nonSMSA,0,Professional Services,Professional/technical,nonunion,5.8051524,40,13.923077,13.916667
236,36,white,married,0,18,college grad,0,SMSA,1,Professional Services,Professional/technical,nonunion,24.661829,20,9.4807692,3.75
237,36,white,single,1,17,college grad,0,SMSA,1,Professional Services,Sales,union,7.21417,40,12.096154,1.75
242,39,white,married,0,12,not college grad,0,SMSA,0,Professional Services,Operatives,union,4.6940408,24,15.301282,8.75
243,35,white,married,0,18,college grad,0,SMSA,0,Public Administration,Managers/admin,union,12.697259,40,17.493589,8.583333
244,36,white,single,1,13,not college grad,1,nonSMSA,0,Finance/Ins/Real Estate,Professional/technical,nonunion,9.5652161,40,16.269232,11.25
245,36,white,married,0,15,not college grad,0,SMSA,1,Professional Services,Professional/technical,nonunion,6.1916251,40,9.8461542,1
250,44,white,married,0,18,college grad,1,SMSA,0,Professional Services,Other,nonunion,7.6811533,50,9.0641031,3.9166667
254,39,white,single,0,12,not college grad,1,SMSA,0,Professional Services,Professional/technical,nonunion,9.8067579,40,16.307692,9.75
255,45,not white,married,0,14,not college grad,0,SMSA,1,Transport/Comm/Utility,Sales,nonunion,4.0257649,40,24.75,24.75
257,38,not white,married,0,16,college grad,1,SMSA,1,Professional Services,Professional/technical,union,11.610305,40,11.653846,2.75
260,38,white,single,0,12,not college grad,0,SMSA,0,Professional Services,Laborers,nonunion,6.9645681,40,10.871796,2.5
261,41,white,married,0,12,not college grad,0,SMSA,0,Professional Services,Sales,union,4.2592573,40,5.3653841,2.8333333
262,44,white,single,0,14,not college grad,1,SMSA,0,Professional Services,Managers/admin,,4.5088553,40,14.576923,1.25
265,44,white,single,0,14,not college grad,1,SMSA,1,Professional Services,Professional/technical,nonunion,9.2270517,40,11.019231,.75
269,40,white,married,0,16,college grad,0,SMSA,0,Professional Services,Other,union,3.3172295,14,7.6538463,1.75
270,38,white,married,0,16,college grad,0,SMSA,1,Professional Services,Laborers,union,8.0515299,40,16.448717,10.666667
271,36,white,single,1,11,not college grad,0,SMSA,1,Wholesale/Retail Trade,Sales,nonunion,5.1127205,40,11.333333,11.333333
273,42,white,married,0,12,not college grad,0,SMSA,0,Business/Repair Svc,Laborers,,3.5535119,20,9.0192308,.33333334
275,38,white,married,0,10,not college grad,0,SMSA,1,Manufacturing,Operatives,,1.0049518,16,7.4807692,1
276,35,white,married,0,12,not college grad,0,SMSA,1,Wholesale/Retail Trade,Sales,nonunion,7.3188381,22,16.166666,16.166666
279,35,white,married,0,16,college grad,0,SMSA,0,Wholesale/Retail Trade,Other,,9.8912992,55,15.557693,6.25
285,38,white,married,0,13,not college grad,0,SMSA,0,Wholesale/Retail Trade,Managers/admin,nonunion,5.8856664,50,10.102564,2.5833333
287,41,white,married,0,12,not college grad,0,SMSA,0,Professional Services,Laborers,union,4.8631215,15,5.5192308,.75
289,44,white,married,0,12,not college grad,0,nonSMSA,0,Construction,Sales,,2.801002,46,19.134615,.75
291,42,white,single,0,12,not college grad,0,SMSA,1,Professional Services,Laborers,,3.0518394,40,7.5961537,4.5833335
294,34,white,married,0,12,not college grad,0,SMSA,0,Wholesale/Retail Trade,Managers/admin,nonunion,5.6360707,30,15.608974,1.75
296,44,white,married,0,12,not college grad,0,SMSA,0,Professional Services,Laborers,nonunion,8.8083696,32,15.230769,11.416667
298,37,white,married,0,16,college grad,1,SMSA,1,Finance/Ins/Real Estate,Managers/admin,nonunion,23.244761,40,12.070512,2.25
299,41,not white,single,0,16,college grad,0,SMSA,1,Finance/Ins/Real Estate,Professional/technical,nonunion,12.222217,38,12.153846,6.75
301,38,white,single,1,18,college grad,0,SMSA,0,Professional Services,Managers/admin,nonunion,12.971002,40,14.903846,6.5
305,40,white,married,0,16,college grad,0,SMSA,0,Professional Services,Managers/admin,nonunion,15.789039,40,15.807693,15.5
306,37,white,married,0,14,not college grad,0,SMSA,0,Professional Services,Sales,nonunion,6.9645681,40,16.833332,13.416667
307,35,white,single,0,12,not college grad,0,SMSA,0,Wholesale/Retail Trade,Clerical/unskilled,,4.3886213,22,13.833333,2.3333333
308,37,white,married,0,18,college grad,0,SMSA,0,Professional Services,Professional/technical,,11.148272,50,14.173077,.75
312,36,white,married,0,15,college grad,0,SMSA,0,Professional Services,Professional/technical,nonunion,9.6618366,16,9.6538458,.66666669
315,38,white,single,0,16,college grad,0,SMSA,0,Finance/Ins/Real Estate,Clerical/unskilled,nonunion,29.726234,50,14.884615,1.5
319,45,white,married,0,12,not college grad,0,SMSA,0,Professional Services,Laborers,union,4.4927521,18,8.3461542,2.6666667
322,41,white,single,0,14,not college grad,0,nonSMSA,0,Wholesale/Retail Trade,Operatives,,6.6889634,16,12.096154,.83333331
324,44,white,married,0,12,not college grad,0,SMSA,0,Wholesale/Retail Trade,Sales,,5.8528428,25,7.3653846,.91666669
325,34,white,single,1,12,not college grad,1,SMSA,0,Transport/Comm/Utility,Laborers,union,4.6135263,60,16.115385,3.25
327,38,white,single,0,9,not college grad,0,SMSA,1,Business/Repair Svc,Laborers,nonunion,4.0257649,30,3.8525643,
329,42,not white,single,1,14,not college grad,0,SMSA,1,Professional Services,Professional/technical,union,12.181962,40,19.076923,2.5
330,43,not white,single,0,16,college grad,1,nonSMSA,0,Professional Services,Sales,union,4.7504005,40,16.115385,.66666669
331,37,not white,single,0,15,not college grad,0,SMSA,1,Manufacturing,Operatives,union,8.0515299,40,13.397435,12.416667
332,36,not white,single,1,9,not college grad,0,SMSA,1,Manufacturing,Operatives,nonunion,7.4476643,40,10.903846,4.75
333,35,not white,married,0,16,college grad,0,SMSA,1,Professional Services,Professional/technical,union,8.5185146,40,13.769231,11.5
338,41,white,married,0,14,not college grad,0,nonSMSA,0,Professional Services,Sales,nonunion,7.2463775,18,9.0192308,1.3333334
341,41,not white,married,0,14,not college grad,0,SMSA,0,Wholesale/Retail Trade,Sales,nonunion,11.97262,40,17.602562,6.1666665
345,45,white,married,0,12,not college grad,0,SMSA,0,Professional Services,Sales,nonunion,8.8083696,32,10.198718,5.0833335
347,36,white,married,0,14,not college grad,0,SMSA,0,Finance/Ins/Real Estate,Sales,nonunion,11.070854,40,17.096153,17
350,39,not white,married,0,14,not college grad,0,SMSA,0,Professional Services,Professional/technical,nonunion,9.6779356,40,16.51923,2.4166667
352,35,white,married,0,13,not college grad,0,SMSA,1,Finance/Ins/Real Estate,Sales,nonunion,3.5426712,20,14.365385,14.166667
354,36,white,single,0,12,not college grad,0,nonSMSA,0,Wholesale/Retail Trade,Laborers,nonunion,4.4202881,35,7.1282048,2.5
356,43,white,married,0,16,college grad,0,SMSA,0,Business/Repair Svc,Managers/admin,nonunion,7.3188381,40,10.403847,9.75
358,45,white,married,0,12,not college grad,0,SMSA,0,Finance/Ins/Real Estate,Managers/admin,nonunion,8.0515299,40,24.474358,17.416666
359,44,white,married,0,14,not college grad,0,SMSA,0,Professional Services,Professional/technical,nonunion,10.837358,40,15.057693,6
360,37,white,married,0,12,not college grad,0,SMSA,1,Manufacturing,Sales,,38.709259,40,15.243589,10.75
363,41,white,single,0,12,not college grad,0,SMSA,0,Manufacturing,Managers/admin,nonunion,9.8953257,36,11.602564,9.25
367,37,white,married,0,13,not college grad,0,nonSMSA,0,Professional Services,Sales,union,10.354262,35,8.083333,8.083333
376,41,white,single,0,12,not college grad,0,SMSA,0,Manufacturing,Sales,nonunion,11.50563,42,17.506411,17.5
377,38,white,married,0,16,college grad,1,SMSA,1,Finance/Ins/Real Estate,Clerical/unskilled,nonunion,23.824474,65,13.564102,3.8333333
379,43,white,single,1,13,not college grad,0,SMSA,0,Wholesale/Retail Trade,Sales,nonunion,7.5523334,40,21.737179,20.166666
382,42,white,single,0,12,not college grad,0,SMSA,0,Public Administration,Managers/admin,union,7.9629631,35,21.326925,1.5833334
384,41,white,married,0,13,not college grad,0,SMSA,0,Professional Services,Other,nonunion,4.8309178,25,7.1346159,
389,40,white,married,0,14,not college grad,0,SMSA,0,Professional Services,Sales,nonunion,5.4669862,15,1.75,.083333336
392,43,white,married,0,8,not college grad,0,SMSA,0,Manufacturing,Operatives,union,8.0515299,40,8.8653851,2.75
395,36,white,single,1,16,college grad,0,nonSMSA,0,Manufacturing,Clerical/unskilled,nonunion,6.5458913,40,16.365385,13.75
396,37,white,married,0,14,not college grad,0,SMSA,0,Professional Services,Laborers,nonunion,3.260869,32,13.711538,1.9166666
397,37,white,married,0,13,not college grad,0,SMSA,0,Manufacturing,Sales,nonunion,4.8309178,20,12.942307,.75
398,35,white,married,0,16,college grad,0,SMSA,0,Wholesale/Retail Trade,Managers/admin,nonunion,8.413847,40,11.403846,6.4166665
399,37,white,married,0,16,college grad,0,SMSA,0,Manufacturing,Managers/admin,nonunion,16.529789,40,16.76923,0
402,36,white,married,0,12,not college grad,0,SMSA,0,Manufacturing,Operatives,union,6.1755219,40,13.589743,9.25
403,40,white,single,1,12,not college grad,0,SMSA,0,Public Administration,Sales,nonunion,5.7326884,40,10.5,10.5
406,36,white,married,0,12,not college grad,0,SMSA,0,Manufacturing,Sales,nonunion,6.2801929,40,13.198718,.5
407,37,white,married,0,18,college grad,0,nonSMSA,0,Professional Services,Professional/technical,,1.0322473,15,9.3076925,4.5833335
409,36,white,married,0,14,not college grad,0,SMSA,1,Professional Services,Sales,,5.9581308,26,12.006411,1.6666666
410,43,white,single,0,14,not college grad,0,nonSMSA,0,Professional Services,Professional/technical,nonunion,10.185181,42,11.935898,2.5
414,36,white,married,0,16,college grad,0,SMSA,0,Finance/Ins/Real Estate,Sales,nonunion,5.5152969,39,15.108974,5.5
415,35,white,single,1,15,not college grad,0,SMSA,0,Professional Services,Professional/technical,nonunion,5.7890487,50,9.2692308,3.3333333
417,34,white,married,0,12,not college grad,0,SMSA,0,Personal Services,Laborers,nonunion,3.3444817,20,7.8397436,.16666667
419,36,white,married,0,12,not college grad,0,SMSA,0,Manufacturing,Sales,nonunion,6.2801929,40,8.5,2.3333333
422,36,white,single,1,11,not college grad,0,SMSA,0,Personal Services,Transport,nonunion,1.7230269,35,12.589744,7.1666665
423,42,white,single,0,12,not college grad,1,nonSMSA,0,Personal Services,Managers/admin,nonunion,3.4866207,30,12.455128,5.1666665
425,34,white,single,0,12,not college grad,0,nonSMSA,0,Manufacturing,Operatives,,3.6371226,40,8.8076925,1
426,40,white,married,0,12,not college grad,0,SMSA,0,Wholesale/Retail Trade,Laborers,nonunion,2.6811595,30,1.1282052,.41666666
429,43,white,married,0,13,not college grad,1,SMSA,0,Professional Services,Sales,nonunion,7.7455678,40,5.8525639,3.0833333
431,36,white,single,1,16,college grad,0,nonSMSA,0,Public Administration,Professional/technical,union,11.409016,38,15.974359,8.333333
432,37,white,married,0,12,not college grad,0,SMSA,0,Manufacturing,Operatives,nonunion,7.0370355,55,9.2179489,6.75
433,43,white,married,0,13,not college grad,0,SMSA,0,Finance/Ins/Real Estate,Clerical/unskilled,nonunion,6.6586123,40,13.27564,1.8333334
434,34,white,single,1,12,not college grad,0,SMSA,0,Personal Services,Laborers,,3.0518394,30,6.9166665,1.1666666
436,37,white,married,0,12,not college grad,0,SMSA,0,Public Administration,Sales,nonunion,7.8502412,40,18.25,18.25
440,37,white,married,0,11,not college grad,0,SMSA,0,Finance/Ins/Real Estate,Sales,nonunion,8.1481447,38,13.288462,2.8333333
441,42,white,married,0,9,not college grad,0,SMSA,0,Personal Services,Laborers,nonunion,7.2463775,16,1.923077,.083333336
443,37,white,married,0,13,not college grad,0,SMSA,0,Wholesale/Retail Trade,Clerical/unskilled,nonunion,5.6360707,20,10.916667,1.75
447,39,white,married,0,12,not college grad,0,SMSA,0,Professional Services,Managers/admin,nonunion,11.046693,37,14.185897,4
448,38,white,single,0,16,college grad,0,nonSMSA,0,Wholesale/Retail Trade,Managers/admin,nonunion,11.626405,45,9.2115383,4.1666665
449,45,white,married,0,14,not college grad,0,SMSA,0,Professional Services,Sales,nonunion,8.623189,42,8.8076925,6.9166665
450,39,white,married,0,14,not college grad,0,nonSMSA,0,Professional Services,Professional/technical,nonunion,11.25418,20,17.673077,10.75
451,40,white,single,0,10,not college grad,0,SMSA,0,Wholesale/Retail Trade,Laborers,nonunion,5.2415447,43,5.7756414,5.75
455,39,white,married,0,13,not college grad,0,SMSA,1,Personal Services,Laborers,nonunion,9.2028933,7,10.961538,2
456,36,white,married,0,12,not college grad,0,SMSA,1,Wholesale/Retail Trade,Operatives,,3.7625415,30,7.0384617,.33333334
457,38,white,married,0,14,not college grad,0,SMSA,0,Finance/Ins/Real Estate,Professional/technical,,35.731617,45,9.5576925,2.3333333
459,38,white,single,1,8,not college grad,0,SMSA,0,Professional Services,Laborers,,5.8528428,30,19.192308,9.666667
460,42,white,married,0,13,not college grad,0,nonSMSA,0,Ag/Forestry/Fisheries,Sales,,3.0991251,3,6.9038463,1.5
467,41,white,single,0,14,not college grad,0,nonSMSA,0,Public Administration,Sales,union,7.2383237,40,17.46154,8.333333
469,35,white,single,0,11,not college grad,0,nonSMSA,0,Public Administration,Sales,nonunion,6.7713332,48,15.448718,9.916667
474,35,white,married,0,12,not college grad,0,SMSA,0,Wholesale/Retail Trade,Sales,nonunion,2.8582926,20,7.275641,1.5833334
477,42,white,married,0,12,not college grad,0,nonSMSA,0,Wholesale/Retail Trade,Sales,nonunion,3.0998378,30,10.352564,2.25
478,38,white,married,0,12,not college grad,0,SMSA,0,Professional Services,Sales,nonunion,6.5861454,32,5.8974361,1.8333334
481,37,white,married,0,12,not college grad,0,nonSMSA,0,Professional Services,Sales,union,8.2930727,38,14.5,7.3333335
483,42,white,married,0,12,not college grad,0,nonSMSA,0,Wholesale/Retail Trade,Sales,nonunion,5.0322061,40,5.7564096,3
485,35,white,married,0,17,college grad,1,SMSA,0,Professional Services,Managers/admin,nonunion,3.6231885,40,11.788462,.083333336
486,38,not white,single,0,18,college grad,0,SMSA,0,Professional Services,Other,,11.073949,40,15.692307,6.75
487,36,not white,single,0,12,not college grad,0,nonSMSA,0,Personal Services,Laborers,,6.6509566,22,12.576923,2.0833333
488,43,white,married,0,16,college grad,1,SMSA,1,Wholesale/Retail Trade,Clerical/unskilled,nonunion,12.38325,25,8.0128202,1
492,39,white,married,0,12,not college grad,0,SMSA,0,Transport/Comm/Utility,Clerical/unskilled,nonunion,7.2463775,50,14.288462,3.9166667
495,38,white,married,0,16,college grad,0,SMSA,0,Professional Services,Other,union,8.5990286,45,13.666667,13.666667
496,40,white,married,0,12,not college grad,0,SMSA,0,Professional Services,Professional/technical,nonunion,12.850242,40,18.48077,11.75
499,38,white,single,0,10,not college grad,0,SMSA,1,Construction,Operatives,,4.105351,40,5.2884617,.33333334
504,43,white,married,0,16,college grad,0,SMSA,0,Professional Services,Other,union,10.32206,60,15.057692,14.416667
505,36,white,married,0,14,not college grad,0,nonSMSA,0,Professional Services,Sales,union,6.0305943,18,18.583334,18.583334
507,39,white,married,0,12,not college grad,0,nonSMSA,0,Professional Services,Sales,,38.709259,40,8.4230766,5.8333335
510,35,white,married,0,12,not college grad,0,nonSMSA,0,Public Administration,Sales,union,7.5281787,40,9.166667,7.5
516,35,white,married,0,12,not college grad,0,SMSA,0,Professional Services,Laborers,union,3.5668249,40,13.403846,6.9166665
518,43,white,married,0,12,not college grad,0,nonSMSA,0,Wholesale/Retail Trade,Managers/admin,nonunion,6.8115935,40,16.929487,16.916666
519,36,white,married,0,12,not college grad,1,SMSA,1,Professional Services,Sales,union,6.3446035,40,12.461538,5.6666665
521,39,white,single,0,7,not college grad,0,nonSMSA,0,Manufacturing,Operatives,nonunion,5.9017696,40,5.9230771,1
522,41,white,married,0,14,not college grad,0,SMSA,1,Professional Services,Managers/admin,nonunion,5.4508834,40,9.5769234,6.9166665
524,38,white,married,0,12,not college grad,0,SMSA,1,Professional Services,Sales,union,5.289855,20,21.75,1
